Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
2,130,3870.4,3870.2,7310,0.999,7140,  ,  ,  ,24,  ,  ,  ,  ,2.65,  ,A.A. 
2,131,3870.6,3870.4,8370,0.999,8190,14800,0.999,14500,23.9,  ,  ,  ,  ,2.65,  ,A.A. 
2,132,3870.95,3870.75,8570,0.999,8380,  ,  ,  ,23.9,  ,  ,  ,  ,2.65,  ,A.A. 
2,133,3871.12,3870.92,  ,  ,  ,  ,  ,  ,  ,25.6,  ,79,7.4,  ,2.64, 
2,134,3871.2,3871,10900,0.999,10600,  ,  ,  ,25,  ,  ,  ,  ,2.66,  ,A.A.P-srt. 
2,135,3871.45,3871.25,11800,0.999,11600,  ,  ,  ,25.1,  ,  ,  ,  ,2.65,  ,A.A. 
2,136,3871.7,3871.5,11000,0.999,10800,12300,0.999,12000,24.6,  ,  ,  ,  ,2.64,  ,A.A. 
2,137,3871.95,3871.75,11900,0.999,11600,  ,  ,  ,24.7,  ,  ,  ,  ,2.64,  ,A.A. 
2,138,3872.08,3871.88,  ,  ,  ,  ,  ,  ,  ,24.9,  ,83.9,4.5,  ,2.65, 
2,139,3872.2,3872,13200,0.999,12900,  ,  ,  ,25.9,  ,  ,  ,  ,2.65,  ,A.A. 
2,140,3872.7,3872.5,11800,0.999,11500,10200,0.998,9980,23.3,  ,  ,  ,  ,2.66,  ,A.A.P-cmt.VP-srt. 
2,141,3873,3872.8,6520,0.999,6350,  ,  ,  ,24.7,  ,  ,  ,  ,2.64,  ,A.A.Fr-cmt.P-srt. 
2,142,3873.2,3873,6660,0.998,6500,  ,  ,  ,23.6,  ,  ,  ,  ,2.65,  ,A.A.incr Pyr. 
2,143,3873.45,3873.25,3590,0.997,3480,  ,  ,  ,23,  ,  ,  ,  ,2.64,  ,A.A.W-cmt.Fr-srt. 
2,144,3873.7,3873.5,4040,0.998,3920,3800,0.996,3680,23.6,  ,  ,  ,  ,2.65,  ,A.A. 
2,145,3873.95,3873.75,2580,0.996,2480,  ,  ,  ,22.8,  ,  ,  ,  ,2.65,  ,A.A. 
2,146,3874.14,3873.94,  ,  ,  ,  ,  ,  ,  ,22.5,  ,86,8,  ,2.65, 
2,147,3874.2,3874,1740,0.993,1670,  ,  ,  ,22.4,  ,  ,  ,  ,2.66,  ,A.A.Ang. 
2,148,3874.4,3874.2,2880,0.996,2790,  ,  ,  ,22.8,  ,  ,  ,  ,2.65,  ,A.A. 
2,149,3874.6,3874.4,291,0.971,268,564,0.979,529,20.9,  ,  ,  ,  ,2.65,  ,A.A.F/M-gr.slty. 
2,150,3874.95,3874.75,142,0.936,128,  ,  ,  ,21.4,  ,  ,  ,  ,2.65,  ,A.A.F-gr.w/o slty. 
2,151,3875.1,3874.9,  ,  ,  ,  ,  ,  ,  ,22.4,  ,77.8,13.1,  ,2.64, 
2,152,3875.2,3875,382,0.97,355,  ,  ,  ,20,  ,  ,  ,  ,2.66,  ,A.A.M-gr.P-srt. 
2,153,3875.45,3875.25,NMP ,  ,NMP ,  ,  ,  ,18.9,  ,  ,  ,  ,2.66,  ,A.A.F/M-gr.Fr-srt.Cl/Mic-lam.fis. 
2,154,3875.7,3875.5,16.3,0.746,13.5,245,0.967,225,15.2,  ,  ,  ,  ,2.64,  ,A.A.w/o fis. 
2,155,3875.95,3875.75,1.89,0.495,1.34,  ,  ,  ,12.7,  ,  ,  ,  ,2.65,  ,A.A.slty.w/o Cl/Mic-lam. 
2,156,3876.14,3875.94,  ,  ,  ,  ,  ,  ,  ,6.6,  ,21.3,60.1,  ,2.71, 
2,157,3876.2,3876,0.328,0.495,0.209,  ,  ,  ,8.2,  ,  ,  ,  ,2.7,  ,A.A.F-gr.W-srt.w/o slty.incr Sid. 
2,158,3876.45,3876.25,NMP ,  ,NMP ,  ,  ,  ,5.4,  ,  ,  ,  ,2.72,  ,A.A.F/M-gr.Fr-srt.fis.incr Calc. 
2,159,3876.75,3876.55,0.459,0.495,0.298,0.161,0.495,0.098,7.4,  ,  ,  ,  ,2.69,  ,A.A.w/o fis.decr Calc. 
2,160,3876.95,3876.75,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
2,161,3877.05,3876.85,  ,  ,  ,  ,  ,  ,  ,3.1,  ,25.5,63.1,  ,2.75, 
2,162,3877.2,3877,0.052,0.495,0.03,  ,  ,  ,4,  ,  ,  ,  ,2.76,  ,A.A.VF-gr.VW-cmt.VW-srt.incr Sid. 
2,163,3877.45,3877.25,94,0.907,83.5,  ,  ,  ,25.3,  ,  ,  ,  ,2.66,  ,A.A.W-cmt.W-srt.decr Sid. 
2,164,3877.75,3877.55,354,0.971,328,NMP ,  ,NMP ,29.9,  ,  ,  ,  ,2.65,  ,A.A.Fr-srt. 
2,165,3878,3877.8,243,0.972,223,  ,  ,  ,28.9,  ,  ,  ,  ,2.64,  ,A.A. 
2,166,3878.11,3877.91,  ,  ,  ,  ,  ,  ,  ,27.8,  ,72,15.1,  ,2.65, 
2,167,3878.2,3878,198,0.967,180,  ,  ,  ,25.4,  ,  ,  ,  ,2.67,  ,A.A.incr Dol. 
2,168,3878.4,3878.2,123,0.936,110,  ,  ,  ,24.3,  ,  ,  ,  ,2.67,  ,A.A. 
2,169,3878.7,3878.5,89.6,0.907,79.4,  ,  ,  ,21.8,  ,  ,  ,  ,2.67,  ,A.A. 
2,170,3878.95,3878.75,5.05,0.495,4.13,3.66,0.495,2.91,12,  ,  ,  ,  ,2.71,  ,A.A.W-srt.incr Sid. 
2,171,3879.12,3878.92,  ,  ,  ,  ,  ,  ,  ,11.9,  ,44.3,28.6,  ,2.72, 
2,172,3879.2,3879,10.5,0.595,8.78,  ,  ,  ,14.1,  ,  ,  ,  ,2.7,  ,A.A. 
2,173,3879.45,3879.25,4.73,0.495,3.84,  ,  ,  ,12.4,  ,  ,  ,  ,2.71,  ,A.A. 
2,174,3879.7,3879.5,0.584,0.495,0.385,0.587,0.495,0.387,8.6,  ,  ,  ,  ,2.73,  ,A.A.incr Calc. 
2,175,3879.95,3879.75,0.706,0.495,0.47,  ,  ,  ,9.7,  ,  ,  ,  ,2.71,  ,A.A. 
2,176,3880.14,3879.94,  ,  ,  ,  ,  ,  ,  ,21.9,  ,60.5,19,  ,2.64, 
2,177,3880.2,3880,50.1,0.83,43.6,  ,  ,  ,21.7,  ,  ,  ,  ,2.66,  ,"A.A.Fr-cmt.Fr-srt.decr Calc,Dol,Sid. "
2,178,3881.45,3881.25,124,0.936,111,  ,  ,  ,23.6,  ,  ,  ,  ,2.63,  ,A.A.incr C. 
2,179,3881.65,3881.45,  ,  ,  ,96.3,0.907,85.7,  ,  ,  ,  ,  ,  ,  , 
3,180,3882.1,3881.5,78.3,0.907,69,79.1,0.88,70,21.2,  ,  ,  ,  ,2.65,  ,"Sst.Brn.F-gr.Sb-ang.W-cmt.Fr-srt.mtrx.w/Mic,Pyr,Calc,Dol,Cl,"
3,181,3882.4,3881.8,60.3,0.855,52.8,  ,  ,  ,21.2,  ,  ,  ,  ,2.65,  ,A.A.w/C. 
3,182,3882.52,3881.92,  ,  ,  ,  ,  ,  ,  ,21.7,  ,57.5,22.8,  ,2.66, 
3,183,3882.6,3882,66.4,0.855,58.4,  ,  ,  ,21.5,  ,  ,  ,  ,2.66,  ,A.A. 
